DrugBank ID	Accession Numbers	Common name	CAS	UNII	Synonyms	InChI Key	Canonical_SMILES
DB04908		Flibanserin	167933-07-5	37JK4STR6Z	Flibanserin	PPRRDFIXUUSXRA-UHFFFAOYSA-N	C1CN(CCN1CCN2C3=CC=CC=C3NC2=O)C4=CC=CC(=C4)C(F)(F)F
DB04909		Sitamaquine	57695-04-2	5AIJ4TGC6B	Sitamaquine	RVAKDGYPIVSYEU-UHFFFAOYSA-N	CCN(CC)CCCCCCNC1=CC(=CC2=C(C=CN=C12)C)OC
DB04910		Oxibendazole	20559-55-1	022N12KJ0X	5-Propoxy-2-benzimidazolecarbamic acid methyl ester | Methyl 5-n-propoxy-2-benzimidazole carbamate | Methyl 5-propoxy-2-benzimidazolecarbamate | Oxibendazole | Oxibendazolo | Oxibendazolum	RAOCRURYZCVHMG-UHFFFAOYSA-N	CCCOC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
DB04911		Oritavancin	171099-57-3	PUG62FRZ2E	Chlorobiphenyl-chloroeremomycin | Oritavancin	VHFGEBVPHAGQPI-LXKZPTCJSA-N	CC1C(C(CC(O1)OC2C3C(=O)NC(C4=C(C(=CC(=C4)O)O)C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=C(C=C2C=C8)Cl)OC9C(C(C(C(O9)CO)O)O)OC1CC(C(C(O1)C)O)(C)NCC1=CC=C(C=C1)C1=CC=C(C=C1)Cl)OC1=C(C=C(C=C1)C(C(C(=O)NC(C(=O)N6)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)O)C(=O)O)(C)N)O
DB04912		Stannsoporfin	106344-20-1	0KAE1U0G7Q	Sn Mesoporphyrin | SnMP | Stannsoporfin | Tin mesoporphyrin	LLDZJTIZVZFNCM-UHEVNVKKSA-J	
DB04915		Idronoxil	81267-65-4	995FT1W541	3-(4-hydroxyphenyl)-2H-chromen-7-ol | Dehydroequol | Haginin E | Phenoxodiol	ZZUBHVMHNVYXRR-UHFFFAOYSA-N	C1C(=CC2=C(O1)C=C(C=C2)O)C3=CC=C(C=C3)O
DB04917		Renzapride	112727-80-7	9073C0W4E9		YFUAYKVMQVBSNG-UHFFFAOYSA-N	COC1=C(C=CC(=C1Cl)N)C(=O)NC2CCN3CCCC2C3
DB04918		Ceftobiprole	209467-52-7	5T97333YZK	Ceftobiprol | Ceftobiprole	VOAZJEPQLGBXGO-SDAWRPRTSA-N	C1CNCC1N2CCC(=CC3=C(N4C(C(C4=O)NC(=O)C(=NO)C5=NSC(=N5)N)SC3)C(=O)O)C2=O
DB04920		Clevidipine	167221-71-8	19O2GP3B7Q	Clevidipine | Clevidipine butyrate | Clevidipino	KPBZROQVTHLCDU-UHFFFAOYSA-N	CCCC(=O)OCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
DB04924		Itopride	122898-67-3	81BMQ80QRL	Itopride | N-(p-(2-(Dimethylamino)ethoxy)benzyl)veratramide	QQQIECGTIMUVDS-UHFFFAOYSA-N	CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC
DB04926		Neramexane	219810-59-0	856DX0KJ84		OGZQTTHDGQBLBT-UHFFFAOYSA-N	CC1(CC(CC(C1)(C)N)(C)C)C
DB04930		Permethrin	52645-53-1	509F88P9SZ	(3-Phenoxyphenyl)methyl (±)-cis,trans-3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropanecarboxylate | 3-(2,2-Dichloroethenyl)-2,2-dimethylcyclopropane carboxylic acid, (3-phenoxyphenyl) methyl ester | Permethrin	RLLPVAHGXHCWKJ-UHFFFAOYSA-N	CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
DB04931		Afamelanotide	75921-69-6	QW68W3J66U	Afamelanotide | Melanotan 1 | Melanotan I | Melanotan-1 | MT-I	UAHFGYDRQSXQEB-LEBBXHLNSA-N	CCCCC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CNC=N1)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NCC(=O)NC(CCCCN)C(=O)N5CCCC5C(=O)NC(C(C)C)C(=O)N)NC(=O)C(CO)NC(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(CO)NC(=O)C
DB04933		Eritoran	185955-34-4	551541VI0Y		BPSMYQFMCXXNPC-MFCPCZTFSA-N	CCCCCCCCCCCC(=O)CC(=O)NC1C(C(C(OC1OP(=O)(O)O)COC2C(C(C(C(O2)COC)OP(=O)(O)O)OCCC(CCCCCCC)OC)NC(=O)CCCCCCCCCC=CCCCCCC)O)OCCCCCCCCCC
DB04934		Rifalazil	129791-92-0	S1976TE8QK	3'-hydroxy-5'-(4-isobutyl-1-piperazinyl)benzoxazinorifamycin	UEFHFKKWYKVLDC-HTQYORAHSA-N	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4C(=O)C(=C5Oc6cc(cc(O)c6N=C5c4c3C2=O)N7CCN(CC7)CC(C)C)NC(=O)C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)/C
DB04936		Tagatose	87-81-0	T7A20Y888Y	(3S,4S,5R)-1,3,4,5,6-pentahydroxyhexan-2-one | D-lyxo-hex-2-ulose | D-lyxo-hexulose | D-tag | D-tagatose | keto-D-tagatose	BJHIKXHVCXFQLS-PQLUHFTBSA-N	C(C(C(C(C(=O)CO)O)O)O)O
DB04938		Ospemifene	128607-22-7	B0P231ILBK	2-(4-(4-Chloro-1,2-diphenyl-but-1-enyl)phenoxy)ethanol | 2-(p-((Z)-4-Chloro-1,2-diphenyl-1-butenyl)phenoxy)ethanol | Deamino-hydroxytoremifene | Ospemifene | Ospemifeno	LUMKNAVTFCDUIE-VHXPQNKSSA-N	C1=CC=C(C=C1)C(=C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCO)CCCl
DB04942	DB03873 | EXPT00376	Tamibarotene	94497-51-5	08V52GZ3H9	retinobenzoic acid	MUTNCGKQJGXKEM-UHFFFAOYSA-N	CC1(CCC(C2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)C(=O)O)(C)C)C
DB04944		Acadesine	2627-69-2	53IEF47846	Acadesina | Acadesine | Acadesinum | AICA-riboside	RTRQQBHATOEIAF-UUOKFMHZSA-N	C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N
DB04946		Iloperidone	133454-47-4	VPO7KJ050N	1-[4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1- piperidinyl]propoxy]-3-methoxyphenyl]ethanone | 4'-(3-(4-(6-fluoro-1,2-benzisoxazol-3-yl)piperidino)propoxy)-3'-methoxyacetophenone | Iloperidona | Ilopéridone | Iloperidone | Iloperidonum	XMXHEBAFVSFQEX-UHFFFAOYSA-N	CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC
DB04947		Altropane	180468-34-2	1Q4092099O		GTQLIPQFXVKRKJ-UNSMHXHVSA-N	COC(=O)C1C2CCC(N2CC=CI)CC1C3=CC=C(C=C3)F
DB04948		Lofexidine	31036-80-3	UI82K0T627	2-(alpha-(2,6-Dichlorophenoxy)ethyl)2-imidazoline | Lofexidina | Lofexidine | Lofexidinum	KSMAGQUYOIHWFS-UHFFFAOYSA-N	CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl
DB04951		Pirfenidone	53179-13-8	D7NLD2JX7U	pirfenidona | Pirfenidone	ISWRGOKTTBVCFA-UHFFFAOYSA-N	CC1=CN(C(=O)C=C1)C2=CC=CC=C2
DB04952		Ramoplanin	76168-82-6	0WX9996O2G		KGZHFKDNSAEOJX-GVRPVQITSA-N	CC1C(=O)NC(C(=O)OC(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)N1)CC(C)C)C2=CC=C(C=C2)O)C(C)O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)CCCN)CC6=CC=CC=C6)C(C)O)C7=CC=C(C=C7)O)C8=CC=C(C=C8)O)C(C)O)CCCN)C9=CC=C(C=C9)O)NC(=O)C(CC(=O)N)NC(=O)C=CC=CCC(C)C)C(=O)N)C1=CC(=C(C=C1)O)Cl
DB04953		Ezogabine	150812-12-7	12G01I6BBU	ethyl {2-amino-4-[(4-fluorobenzyl)amino]phenyl}carbamate | Ethyl 2-amino-4-((p-fluorobenzyl)amino)carbanilate | EZG | Ezogabine | N-(2-Amino-4-(4-fluorobenzylamino)-phenyl) carbamic acid ethyl ester | N-(2-Amino-4-(4-fluorobenzylamino)phenyl)carbamic acid ethyl ester | Retigabina | Retigabine | RTG	PCOBBVZJEWWZFR-UHFFFAOYSA-N	CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N
DB04954		Tecadenoson	204512-90-3	GZ1X96601Z		OESBDSFYJMDRJY-BAYCTPFLSA-N	C1COCC1NC2=C3C(=NC=N2)N(C=N3)C4C(C(C(O4)CO)O)O
DB04957		Azimilide	149908-53-2	74QU6P2934		MREBEPTUUMTTIA-UHFFFAOYSA-N	CN1CCN(CC1)CCCCN2C(=O)CN(C2=O)N=CC3=CC=C(O3)C4=CC=C(C=C4)Cl
DB04960		Tipifarnib	192185-72-1	MAT637500A	tipifarnib | Zarnestra	PLHJCIYEEKOWNM-HHHXNRCGSA-N	CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
DB04961		Troxacitabine	145918-75-8	60KQZ0388Y	(-)-ODDC	RXRGZNYSEHTMHC-BQBZGAKWSA-N	C1C(OC(O1)CO)N2C=CC(=NC2=O)N
DB04967		Lucanthone	479-50-5	FC6D57000M	1-((2-(Diethylamino)ethyl)amino)-4-methylthioxanthen-9-one | 1-{[2-(diethylamino)ethyl]amino}-4-methylthioxanthen-9-one | 1-diethylaminoethylethylamino-4-methyl-thioxanthenone | Lucanthone | Lucanthonum | Lucantona	FBQPGGIHOFZRGH-UHFFFAOYSA-N	CCN(CC)CCNC1=C2C(=C(C=C1)C)SC3=CC=CC=C3C2=O
DB04970		Lesopitron	132449-46-8	H1CGM4755H	2-(4-(4-(4-Chloropyrazol-1-yl)butyl)-1-piperazinyl)pyrimidine | Lesopitron	AHCPKWJUALHOPH-UHFFFAOYSA-N	C1CN(CCN1CCCCN2C=C(C=N2)Cl)C3=NC=CC=N3
DB04971		Reglitazar	170861-63-9	P9UTN18JVV	Reglitazar | Reglixane	QBQLYIISSRXYKL-UHFFFAOYSA-N	CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)CC4C(=O)NOC4=O
DB04972		Canfosfamide	158382-37-7	1RS284BFUI		OJLHWPALWODJPQ-QNWVGRARSA-N	C1=CC=C(C=C1)C(C(=O)O)NC(=O)C(CS(=O)(=O)CCOP(=O)(N(CCCl)CCCl)N(CCCl)CCCl)NC(=O)CCC(C(=O)O)N
DB04974		Rimiducid	195514-63-7	H564L1W5J2	Rimiducid	GQLCLPLEEOUJQC-ZTQDTCGGSA-N	CCC(C1=CC(=C(C(=C1)OC)OC)OC)C(=O)N2CCCCC2C(=O)OC(CCC3=CC(=C(C=C3)OC)OC)C4=CC(=CC=C4)OCC(=O)NCCNC(=O)COC5=CC=CC(=C5)C(CCC6=CC(=C(C=C6)OC)OC)OC(=O)C7CCCCN7C(=O)C(CC)C8=CC(=C(C(=C8)OC)OC)OC
DB04975		Banoxantrone	136470-65-0	W5H7E45YT3	Banoxantrone	YZBAXVICWUUHGG-UHFFFAOYSA-N	C[N+](C)(CCNC1=C2C(=C(C=C1)NCC[N+](C)(C)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)O)[O-]
DB04977		Plitidepsin	137219-37-5	Y76ID234HW	Dehydrodidemnin B | Plitidepsin | Plitidepsina | Plitidepsine | Plitidepsium	UUSZLLQJYRSZIS-LXNNNBEUSA-N	CCC(C)C1C(CC(=O)OC(C(=O)C(C(=O)NC(C(=O)N2CCCC2C(=O)N(C(C(=O)OC(C(C(=O)N1)NC(=O)C(CC(C)C)N(C)C(=O)C3CCCN3C(=O)C(=O)C)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O
DB04982		Talampanel	161832-65-1	CVS43XG1L5	Talampanel	JACAAXNEHGBPOQ-LLVKDONJSA-N	CC1CC2=CC3=C(C=C2C(=NN1C(=O)C)C4=CC=C(C=C4)N)OCO3
DB04983		Denufosol	211448-85-0	5PC250KSSH		FPNPSEMJLALQSA-MIYUEGBISA-N	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=CC(=O)NC4=O)O)O)O
DB04996		Satraplatin	129580-63-8	8D7B37T28G	Satraplatin	CKNPWBAXEKSCRG-UHFFFAOYSA-J	CC(=O)[O-].CC(=O)[O-].C1CCC(CC1)N.N.[Cl-].[Cl-].[Pt+4]
DB04998		AGRO100	301636-59-9	Z03K553649		DFYPFJSPLUVPFJ-QJEDTDQSSA-N	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OC3CC(OC3COP(=O)(O)OC4CC(OC4COP(=O)(O)OC5CC(OC5COP(=O)(O)OC6CC(OC6COP(=O)(O)OC7CC(OC7COP(=O)(O)OC8CC(OC8COP(=O)(O)OC9CC(OC9COP(=O)(O)OC1CC(OC1COP(=O)(O)OC1CC(OC1COP(=O)(O)OC1CC(OC1COP(=O)(O)OC1CC(OC1COP(=O)(O)OC1CC(OC1CO)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=O)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=O)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=O)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=O)(O)OCC1C(CC(O1)N1C=C(C(=O)NC1=O)C)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)OP(=O)(O)OCC1C(CC(O1)N1C=NC2=C1N=C(NC2=O)N)O
DB05003		Imexon	59643-91-3	8F63U28T2V		BIXBBIPTYBJTRY-UHFFFAOYSA-N	C1C2N1C(=O)N=C2N
DB05009		Apadenoson	250386-15-3	BTS1Y6777M		FLEVIENZILQUKB-XTWQNQIISA-N	CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)nc(nc23)C#CC[C@H]4CC[C@@H](CC4)C(=O)OC
DB05010	DB12646	SGS-742	123690-78-8	GBZ5UC0RME		ONNMDRQRSGKZCN-UHFFFAOYSA-N	CCCCP(=O)(CCCN)O
DB05013		Ingenol mebutate	75567-37-2	7686S50JAH	3-Angeloylingenol | 3-Ingenyl angelate | Ingenol 3-angelate | Ingenol mebutate | Ingenol mebutato | Ingenoli mebutas | Mébutate d'ingénol | Mebutato de ingenol	VDJHFHXMUKFKET-UXMMOKKRSA-N	CC=C(C)C(=O)OC1C(=CC23C1(C(C(=CC(C2=O)C4C(C4(C)C)CC3C)CO)O)O)C
DB05015		Belinostat	866323-14-0	F4H96P17NZ	Belinostat	NCNRHFGMJRPRSK-MDZDMXLPSA-N	C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO
DB05016		Ataluren	775304-57-9	K16AME9I3V	3-[5-(2-fluorophenyl)-1,2,4-oxadiazol-3-yl]benzoic acid | Ataluren	OOUGLTULBSNHNF-UHFFFAOYSA-N	C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F
DB05018		Migalastat	108147-54-2	C4XNY919FW	1-Deoxygalactonojirimycin | 1-Deoxygalactostatin | Migalastat	LXBIFEVIBLOUGU-DPYQTVNSSA-N	C1C(C(C(C(N1)CO)O)O)O
DB05022		Amonafide	69408-81-7	1Q8D39N37L		UPALIKSFLSVKIS-UHFFFAOYSA-N	CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N
DB05025		Arimoclomol	289893-25-0	EUT3557RT5		SGEIEGAXKLMUIZ-CYBMUJFWSA-N	C1CCN(CC1)CC(CON=C(C2=C[N+](=CC=C2)[O-])Cl)O
DB05034		Ularitide	118812-69-4	740Y5J48Z8	Urodilatin ularitide	IUCCYQIEZNQWRS-DWWHXVEHSA-N	CCC(C)C1C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(CSSCC(C(=O)NC(C(=O)NCC(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCNC(=N)N)CC(=O)O)CCSC)CCCNC(=N)N)CC2=CC=CC=C2)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C3CCCN3C(=O)C(C)NC(=O)C(C(C)O)N)C(=O)NC(CC(=O)N)C(=O)NC(CO)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC5=CC=C(C=C5)O)C(=O)O)CC(C)C)CO)CCC(=O)N)C
DB05035		Eprotirome		958AQ7B6R1		VPCSYAVXDAUHLT-UHFFFAOYSA-N	CC(C)C1=C(C=CC(=C1)OC2=C(C=C(C=C2Br)NC(=O)CC(=O)O)Br)O
DB05038		Anatibant	209733-45-9	CLO4JRD21F		XUHBBTKJWIBQMY-MHZLTWQESA-N	CC1=CC(=NC2=C1C=CC=C2OCC3=C(C=CC(=C3Cl)S(=O)(=O)N4CCCC4C(=O)NCCCNC(=O)C5=CC=C(C=C5)C(=N)N)Cl)C
DB05039		Indacaterol	312753-06-3	8OR09251MQ	Indacaterol	QZZUEBNBZAPZLX-QFIPXVFZSA-N	CCC1=C(C=C2CC(CC2=C1)NCC(C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC
DB05045		Obinepitide	348119-84-6	926PP306RV	(34-L-glutamine)pancreatic hormone (human)	LDUARVOCMXITCM-ILMFCTMOSA-N	CCC(C)C(C(=O)NC(CC(=O)N)C(=O)NC(CCSC)C(=O)NC(CC(C)C)C(=O)NC(C(C)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC1=CC=C(C=C1)O)C(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C(CCC(=O)N)NC(=O)C(C)NC(=O)C(CCSC)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C4CCCN4C(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C5CCCN5C(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(C(C)C)NC(=O)C7CCCN7C(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C8CCCN8C(=O)C(C)N
DB05047		CX717	867276-98-0			KFRQROSRKSVROW-UHFFFAOYSA-N	C1COCCN1C(=O)C2=CC3=NON=C3C=C2
DB05048		Cannabinor		O8E148Q90M		GSTZHANFXAKPSE-MXTREEOPSA-N	CCCCCCC(C)(C)C1=CC(=C(C(=C1)OC(=O)C=CC(=O)O)C2CC(=O)C3CC2C3(C)C)O
DB05053		MB-07803		GG81XF45C2		CTKZZUXRWBCFEI-UHFFFAOYSA-N	CCOC(=O)C(C)(C)NP(=O)(C1=CC=C(O1)C2=C(SC(=N2)N)C(=O)C(C)(C)C)NC(C)(C)C(=O)OCC
DB05057		Erdosteine	84611-23-4	76J0853EKA		QGFORSXNKQLDNO-UHFFFAOYSA-N	C1CSC(=O)C1NC(=O)CSCC(=O)O
DB05075		TG-100801		1VZO7A0J9S		JMGXJHWTVBGOKG-UHFFFAOYSA-N	CC1=CC(=CC2=C1N=C(N=N2)NC3=CC=C(C=C3)OCCN4CCCC4)C5=C(C=CC(=C5)OC(=O)C6=CC=CC=C6)Cl
DB05076	DB03922	Fenretinide	65646-68-6	187EJ7QEXL	4-HPR | 4-hydroxy(phenyl)retinamide | 4-hydroxyphenyl retinamide | Fenretinida | Fenretinide | Fenretinidum | N-(4-hydroxyphenyl)all-trans retinamide	AKJHMTWEGVYYSE-FXILSDISSA-N	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)NC2=CC=C(C=C2)O)C)C
DB05087		Ganaxolone	38398-32-2	98WI44OHIQ		PGTVWKLGGCQMBR-FLBATMFCSA-N	CC(=O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)(C)O)C)C
DB05088		Tetrathiomolybdate	16330-92-0	91U3TGV99T	Thiomolybdate | Tiomolibdate ion	CXVCSRUYMINUSF-UHFFFAOYSA-N	[S-][Mo]([S-])(=S)=S
DB05095		Cimicoxib	265114-23-6	W7FHJ107MC	Cimicoxib	KYXDNECMRLFQMZ-UHFFFAOYSA-N	COC1=C(C=C(C=C1)C2=C(N=CN2C3=CC=C(C=C3)S(=O)(=O)N)Cl)F
DB05100		Prinomastat	192329-42-3	10T6626FRK	prinomastat	YKPYIPVDTNNYCN-INIZCTEOSA-N	CC1(C(N(CCS1)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=NC=C3)C(=O)NO)C
DB05102		Rupintrivir	223537-30-2	RGE5K1Q5QW		CAYJBRBGZBCZKO-BHGBQCOSSA-N	CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(CC2=CC=C(C=C2)F)CC(=O)C(C(C)C)NC(=O)C3=NOC(=C3)C
DB05103		AN-9	122110-53-6	55VNK5440P	Pivaloyloxymethyl butyrate | Pivaloyloxymethylbutyrate | Pivanex	GYKLFBYWXZYSOW-UHFFFAOYSA-N	CCCC(=O)OCOC(=O)C(C)(C)C
DB05104		Asimadoline	153205-46-0	D0VK52NV5M		JHLHNYVMZCADTC-LOSJGSFVSA-N	CN(C(CN1CCC(C1)O)C2=CC=CC=C2)C(=O)C(C3=CC=CC=C3)C4=CC=CC=C4
DB05105	DB08716	Pleconaril	153168-05-9	9H4570Q89D		KQOXLKOJHVFTRN-UHFFFAOYSA-N	CC1=CC(=CC(=C1OCCCC2=CC(=NO2)C)C)C3=NOC(=N3)C(F)(F)F
DB05107		16-Bromoepiandrosterone	28507-02-0	9735KA370S	16alpha-bromoepiandrosterone	CWVMWSZEMZOUPC-JUAXIXHSSA-N	CC12CCC(CC1CCC3C2CCC4(C3CC(C4=O)Br)C)O
DB05109		Trabectedin	114899-77-3	ID0YZQ2TCP	Ecteinascidin 743 | Trabectedin | Trabectedina	PKVRCIRHQMSYJX-AIFWHQITSA-N	CC1=CC2=C(C3C4C5C6=C(C(=C7C(=C6C(N4C(C(C2)N3C)O)COC(=O)C8(CS5)C9=CC(=C(C=C9CCN8)O)OC)OCO7)C)OC(=O)C)C(=C1OC)O
DB05116		Thymectacin	232925-18-7	2ZRZ4TSW3F		CFBLUORPOFELCE-BACVZHSASA-N	CC(C(=O)OC)NP(=O)(OCC1C(CC(O1)N2C=C(C(=O)NC2=O)C=CBr)O)OC3=CC=CC=C3
DB05119	DB05256	Rilapladib	412950-08-4	O14CWE893Z		NNBGCSGCRSCFEA-UHFFFAOYSA-N	COCCN1CCC(CC1)N(CC2=CC=C(C=C2)C3=CC=C(C=C3)C(F)(F)F)C(=O)CN4C5=CC=CC=C5C(=O)C=C4SCC6=C(C(=CC=C6)F)F
DB05123		Gemcabene	183293-82-5	B96UX1DDKS		SDMBRCRVFFHJKR-UHFFFAOYSA-N	CC(C)(CCCCOCCCCC(C)(C)C(=O)O)C(=O)O
DB05128		Aminocandin	227472-48-2			UMNFJRNUJIBDSK-NMVZEWDOSA-N	CCCCCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3CC(CNC(=O)C4C(C(CN4C(=O)C(NC(=O)C(NC(=O)C5CC(CN5C(=O)C(NC3=O)C(C)O)O)C(CC6=CC=C(C=C6)O)O)CO)C)O)NCCN
DB05129		Elsamitrucin	97068-30-9	ZTV0FOB6NU		MGQRRMONVLMKJL-KWJIQSIXSA-N	CC1C(C(C(C(O1)OC2C(OC(C(C2(C)O)O)C)OC3=CC=CC4=C3C5=C6C7=C(C=CC(=C7C(=O)O5)C)OC(=O)C6=C4O)N)OC)O
DB05134	DB06398	Tanespimycin	75747-14-7	4GY0AVT3L4	17AAG | Tanespimycin | tanespimycina	AYUNIORJHRXIBJ-TXHRRWQRSA-N	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC
DB05137		Lobeline	90-69-7	D0P25S3P81	Lobelina	MXYUKLILVYORSK-HBMCJLEFSA-N	CN1C(CCCC1CC(=O)C2=CC=CC=C2)CC(C3=CC=CC=C3)O
DB05143		OXI-4503	288847-35-8	JH6Z94GLUD	CA1P | Combretastatin A-1 bis(phosphate) | Combretastatin A1 diphosphate | OXI4503	GSOXMQLWUDQTNT-WAYWQWQTSA-N	COC1=C(C(=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)OP(=O)(O)O)OP(=O)(O)O
DB05152		NGX267	503431-81-0	8D3PZX7G73		PHOZOHFUXHPOCK-QMMMGPOBSA-N	CCC1C(=O)NC2(S1)CCN(CC2)C
DB05154		Pretomanid	187235-37-6	2XOI31YC4N	Pretomanid	ZLHZLMOSPGACSZ-NSHDSACASA-N	C1C(COC2=NC(=CN21)[N+](=O)[O-])OCC3=CC=C(C=C3)OC(F)(F)F
DB05155		CR665		3BX9UG06GG		DBOGGOVKHSCMNB-OMRVPHBLSA-N	CCCCC(C(=O)NC(CCCN=C(N)N)C(=O)NCC1=CC=NC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N
