	Common name	InChI Key	Accession Number
2558	VU-0366037-2	MTELUFOIWGSEFF-UHFFFAOYSA-N	BRD-K39823328
2559	BRD-K39829853	XXBBKQPFNKQHAQ-UHFFFAOYSA-N	BRD-K39829853
2560	BRD-K39866321	IQKDOQFEISKLEY-UHFFFAOYSA-N	BRD-K39866321
2562	BRD-K39921295	FIGGLCUVZRSRTI-UTLSLIQUSA-N	BRD-K39921295
2563	ochratoxin-a	RWQKHEORZBHNRI-BMIGLBTASA-N	BRD-K39944607
2564	doconexent	MBMBGCFOFBJSGT-KUBAVDMBSA-N	BRD-K39965020
2567	KUC104547N	ZUAAACBIEWKSNS-UHFFFAOYSA-N	BRD-K40083016
2568	BRD-K40087974	YZMLAJBOSVHFEW-UHFFFAOYSA-N	BRD-K40087974
2569	BRD-K40094191	SAIPSYFILFBTPK-UHFFFAOYSA-N	BRD-K40094191
2570	BRD-K40151202	YGWIIIVWDASCOQ-UHFFFAOYSA-N	BRD-K40151202
2571	torin-1	AKCRNFFTGXBONI-UHFFFAOYSA-N	BRD-K40175214
2572	BRD-K40175949	DPFIYYDYFQJIPD-UHFFFAOYSA-N	BRD-K40175949
2573	SAL-1	HAUGRYOERYOXHX-UHFFFAOYSA-N	BRD-K40213712
2574	BRD-K40224283	SLHDNIDGJASXKC-UHFFFAOYSA-N	BRD-K40224283
2576	tyrphostin-A9	MZOPWQKISXCCTP-UHFFFAOYSA-N	BRD-K40255344
2577	BRD-K40300908	LKAZLKLHUAIYCE-UHFFFAOYSA-N	BRD-K40300908
2578	BRD-K40329609	BNBPDLHZYILUPO-UHFFFAOYSA-N	BRD-K40329609
2579	KU-C104337	HIHRDBPZNHRLGO-UHFFFAOYSA-N	BRD-K40373196
2580	BRD-K40378749	SMHCVHCLAYAMKY-UHFFFAOYSA-N	BRD-K40378749
2581	BRD-K40441731	WJFJDPAJTWSSPX-UHFFFAOYSA-N	BRD-K40441731
2582	BRD-K40480443	PCMYUPRQHKUXDL-UHFFFAOYSA-N	BRD-K40480443
2584	BRD-K40566034	HPXQJKADXJMKNX-WTBTXGFSSA-N	BRD-K40566034
2585	BRD-K40577058	HVPCZZNYFVJIQI-UHFFFAOYSA-N	BRD-K40577058
2586	GR-79236	GYWXTRVEUURNEW-TVDBPQCTSA-N	BRD-K40578143
2587	larixinic-acid	XPCTZQVDEJYUGT-UHFFFAOYSA-N	BRD-K40619305
2588	ZM-39923	JSASWRWALCMOQP-UHFFFAOYSA-N	BRD-K40624912
2590	L-165041	YBEZORYMVISYOA-UHFFFAOYSA-N	BRD-K40656405
2591	VU-0424182-2	DTDYZLBFRMXQPB-UHFFFAOYSA-N	BRD-K40711313
2592	BMS-777607	VNBRGSXVFBYQNN-UHFFFAOYSA-N	BRD-K40738845
2593	baeomycesic-acid	IGTAVCGEZLIHKG-UHFFFAOYSA-N	BRD-K40742111
2595	BRD-K40758391	QXFVQXRFCWCTQE-UFFVCSGVSA-N	BRD-K40758391
2596	QX-222	QYUXPWDVDMSTKR-UHFFFAOYSA-O	BRD-K40782193
2597	BRD-K40846327	UHIMEEWAODCTDO-LVKBQDAUSA-N	BRD-K40846327
2598	STAT3-inhibitor-VI	HWNUSGNZBAISFM-UHFFFAOYSA-N	BRD-K40853697
2601	cinanserin	RSUVYMGADVXGOU-BUHFOSPRSA-N	BRD-K40901640
2603	BAPTA-AM	YJIYWYAMZFVECX-UHFFFAOYSA-N	BRD-K40919711
2604	BRD-K40941388	PRAFTWYPDIRGEQ-UHFFFAOYSA-N	BRD-K40941388
2605	BRD-K40949493	QAVYVNAGSVFDOJ-BCWKHWSNSA-N	BRD-K40949493
2606	BRD-K40955748	JFGVNOBSICTXJA-UHFFFAOYSA-N	BRD-K40955748
2607	SD-6-035-A8	WIYHORLWMFSPCL-GPYNCYNASA-N	BRD-K40956802
2608	cyanopindolol	QXIUMMLTJVHILT-LBPRGKRZSA-N	BRD-K40965114
2609	hexamethyleneamiloride	RQQJJXVETXFINY-UHFFFAOYSA-N	BRD-K40990712
2611	BRD-K41006959	SNLLYSRKOQFTLF-UHFFFAOYSA-N	BRD-K41006959
2612	BRD-K41059137	OHQRWSXUISHEHH-UHFFFAOYSA-N	BRD-K41059137
2613	BRD-K41087962	RHMYANWTFKKYOM-SSXAXAPESA-N	BRD-K41087962
2614	BRD-K41143549	BYGXICRJQZKUPA-UHFFFAOYSA-N	BRD-K41143549
2617	BRD-K41185612	JPYVDDQLJKPVJU-UHFFFAOYSA-N	BRD-K41185612
2618	BRD-K41220170	PMBONNUBWSXALJ-XNTDXEJSSA-N	BRD-K41220170
2619	ST-4039884	CMWAFGJNLNZSMR-UHFFFAOYSA-N	BRD-K41227865
2620	BRD-K41240505	DJLHRZNYEFTLQE-UHFFFAOYSA-N	BRD-K41240505
2622	BRD-K41284916	ZMPSLQHVIXWVTO-UHFFFAOYSA-N	BRD-K41284916
2623	BRD-K41303952	NILCQTKEVAIMRT-NWWIOOOSSA-N	BRD-K41303952
2624	ZM-306416	YHUIUSRCUKUUQA-UHFFFAOYSA-N	BRD-K41337261
2626	BRD-K41429297	RYXOQQNEEVIEQP-CUMRGQLISA-N	BRD-K41429297
2627	BRD-K41431262	XJDNFUDAKLJUOC-ACIRYHQQSA-N	BRD-K41431262
2629	BRD-K41557448	PJJFYUAXYSKODT-UHFFFAOYSA-N	BRD-K41557448
2631	SB-334867	AKMNUCBQGHFICM-UHFFFAOYSA-N	BRD-K41567364
2632	BRD-K41652870	PLKUYFLKWJFBTD-UHFFFAOYSA-N	BRD-K41652870
2633	BRD-K41668190	GOAOODKMEMAENX-JERWTEEISA-N	BRD-K41668190
2634	BRD-K41670583	QBPUOAJBMXXBNU-UHFFFAOYSA-N	BRD-K41670583
2635	ceramide	BLTCBVOJNNKFKC-QUDYQQOWSA-N	BRD-K41707108
2636	E-4031	SRUISGSHWFJION-UHFFFAOYSA-N	BRD-K41713976
2638	BRD-K41757249	BNVMMAAJZWZLHS-UHFFFAOYSA-N	BRD-K41757249
2639	BRD-K41775742	QDRBVCQGVAHXBS-JQASONJCSA-N	BRD-K41775742
2640	BRD-K41797142	CQHBFQHJMCXJMS-UHFFFAOYSA-N	BRD-K41797142
2641	BRD-K41845021	LLAPOGNBVGIRHM-UHFFFAOYSA-N	BRD-K41845021
2642	NVP-AUY922	NDAZATDQFDPQBD-UHFFFAOYSA-N	BRD-K41859756
2643	W-5	FVJRBJIENDRNBE-UHFFFAOYSA-N	BRD-K41868777
2644	AS-605240	SQWZFLMPDUSYGV-UXBLZVDNSA-N	BRD-K41895714
2646	BRD-K41924482	DCNGPDPUCQUBES-UHFFFAOYSA-N	BRD-K41924482
2647	BRD-K41925105	UKEFKMJMFRIXER-YPLGXPHSSA-N	BRD-K41925105
2648	BRD-K41931739	JQKHDUWQEWCERO-BUUPBASBSA-N	BRD-K41931739
2649	tyrphostin-1	UOHFCPXBKJPCAD-UHFFFAOYSA-N	BRD-K41996876
2650	BRD-K42006476	IMPBBHMDJCWLCX-GGUMNFRJSA-N	BRD-K42006476
2651	BRD-K42021584	HRONYAMGJANALM-UHFFFAOYSA-N	BRD-K42021584
2655	VU-0405172-2	OGGYCTMNWHLDPZ-UHFFFAOYSA-N	BRD-K42140106
2656	buparlisib	CWHUFRVAEUJCEF-UHFFFAOYSA-N	BRD-K42191735
2657	NNC-711	NGNALWDRPKNJGR-UHFFFAOYSA-N	BRD-K42221274
2659	ST-056792	FMVZKGYXMKDRSK-UHFFFAOYSA-N	BRD-K42308740
2660	BRD-K42419294	ZBAOXGUVNUTLHL-UHFFFAOYSA-N	BRD-K42419294
2661	EO-1428	HDCLCHNAEZNGNV-UHFFFAOYSA-N	BRD-K42452249
2662	BRD-K42455570	TTWDAOGBFIRZMA-UHFFFAOYSA-N	BRD-K42455570
2663	BRD-K42471691	OYKOAVOVSIXRCI-UHFFFAOYSA-N	BRD-K42471691
2664	BRD-K42489623	JNESTBBQPGLCPJ-UHFFFAOYSA-N	BRD-K42489623
2665	BRD-K42499654	DEVPNNKKGPZYFO-UHFFFAOYSA-N	BRD-K42499654
2666	CGP-57380	UQPMANVRZYYQMD-UHFFFAOYSA-N	BRD-K42500029
2667	BRD-K42541148	PBRCPUKRPJYRTF-WQRHYEAKSA-N	BRD-K42541148
2668	BRD-K42543304	LCGKYSOTAAWDQI-LIHQSLCGSA-N	BRD-K42543304
2669	BRD-K42568865	UBKHWHLZLANWTL-UHFFFAOYSA-N	BRD-K42568865
2670	BRD-K42629487	PMEQBGAGFZDWQX-UHFFFAOYSA-N	BRD-K42629487
2672	BRD-K42644990	KHSHWMOUVNMUGS-UHFFFAOYSA-N	BRD-K42644990
2673	Y-27152	RHFUXPCCELGMFC-UXHICEINSA-N	BRD-K42679050
2674	BRD-K42681396	DVKLTRZHIPWHIV-UHFFFAOYSA-N	BRD-K42681396
2675	BRD-K42687792	KDESAJYWMFBWRH-SYZUXVNWSA-N	BRD-K42687792
2677	NVP-BGJ398	QADPYRIHXKWUSV-UHFFFAOYSA-N	BRD-K42728290
2678	XE-991	KHJFBUUFMUBONL-UHFFFAOYSA-N	BRD-K42748308
2679	ST-012015	JJIHTWZCDRSIKT-JXMROGBWSA-N	BRD-K42834456
2680	BRD-K42867405	RHPQXKACBFKHMZ-UHFFFAOYSA-N	BRD-K42867405
2681	GSK-2126458	NPPBBAURRJGWEH-UHFFFAOYSA-N	BRD-K42918627
2682	BRD-K43009525	WGKYYZDYHYOKQV-UHFFFAOYSA-N	BRD-K43009525
2683	AMG-9810	GZTFUVZVLYUPRG-UHFFFAOYSA-N	BRD-K43068349
2684	BRD-K43069600	PXMCLQNRPDARBK-UHFFFAOYSA-N	BRD-K43069600
2685	BRD-K43131268	XQMYTQQHXORADL-UHFFFAOYSA-N	BRD-K43131268
2686	BRD-K43149678	PJCOHLDUAVDGLC-UHFFFAOYSA-N	BRD-K43149678
2689	BRD-K43226598	VYCOOHAMPRTWAW-HYXMALDRSA-N	BRD-K43226598
2690	piceid	HSTZMXCBWJGKHG-CUYWLFDKSA-N	BRD-K43236057
2691	MDL-28170	NGBKFLTYGSREKK-PMACEKPBSA-N	BRD-K43245338
2692	BRD-K43256821	ORCUQVZUTYUDHO-ASHZAFPQSA-N	BRD-K43256821
2693	BRD-K43267173	MFIIMKQJXHRVNR-UHFFFAOYSA-N	BRD-K43267173
2694	Ro-04-6790	JELFWSXQTXRMAJ-UHFFFAOYSA-N	BRD-K43290182
2695	JTE-013	RNSLRQNDXRSASX-UHFFFAOYSA-N	BRD-K43330982
2697	BMS-387032	OUSFTKFNBAZUKL-UHFFFAOYSA-N	BRD-K43389698
2698	tyrphostin-AG-527	UMGQVUWXNOJOSJ-KMHUVPDISA-N	BRD-K43405658
2699	byssochlamic-acid	NRDWUPPIGBHWAS-ZJUUUORDSA-N	BRD-K43468059
2700	BRD-K43581698	MURCZWOVERITEN-WAWDLJLISA-N	BRD-K43581698
2701	CHEMBL-399379	SIIPNDKXZOTLEA-UHFFFAOYSA-N	BRD-K43620258
2702	KU-C104141	DPBQFUHCNDIONU-UHFFFAOYSA-N	BRD-K43637719
2703	SA-424589	YRAOJEGTHQJVGH-JLMYGFKKSA-N	BRD-K43682718
2705	ST-4029487	FDSLGRRNMPJGLN-WYMPLXKRSA-N	BRD-K43739430
2708	BRD-K43782924	LFLAMOGMIYXBDS-UHFFFAOYSA-N	BRD-K43782924
2709	benzyl-quinazolin-4-yl-amine	FVWANTDQRFSCAL-UHFFFAOYSA-N	BRD-K43796186
2711	BRD-K43806450	GQBJBCNAEKUCKM-ISJBWFOZSA-N	BRD-K43806450
2715	BRD-K43913647	PWARHDUWOJUADN-UHFFFAOYSA-N	BRD-K43913647
2716	PIT	LXEZPPZLNVOLDI-UHFFFAOYSA-N	BRD-K43978949
2717	VU-0413243-1	ZNPOXTWCYGKAHQ-UHFFFAOYSA-N	BRD-K43992206
2720	tacrolimus	QJJXYPPXXYFBGM-LJIGMGMYSA-N	BRD-K44094599
2721	HTS-12264SC	YDXQNOXNHVRHQT-UHFFFAOYSA-N	BRD-K44136596
2724	acarbose	XUFXOAAUWZOOIT-SXARVLRPSA-N	BRD-K44276885
2726	BRD-K44366801	XKMWYIMATZNWHS-UHFFFAOYSA-N	BRD-K44366801
2727	BRD-K44417704	ZYBBIBXBPXBJPS-UHFFFAOYSA-N	BRD-K44417704
2728	VU-0418946-1	QNRODODTMXCRKU-UHFFFAOYSA-N	BRD-K44432556
2729	BRD-K44484254	NCRQZQGYJKRNBC-UHFFFAOYSA-N	BRD-K44484254
2730	BRD-K44494044	INGUWWSFDCFHCG-UHFFFAOYSA-N	BRD-K44494044
2731	BRD-K44510578	FXIXTIXYCSOXIT-BVXAZASISA-N	BRD-K44510578
2732	BRD-K44540157	IQAMLNDCTUZWLF-ZFEZZJPFSA-N	BRD-K44540157
2733	BRD-K44575778	PPOYYNSGAQCUFH-UHFFFAOYSA-N	BRD-K44575778
2734	VU-0365121-1	AWIDPYRUVXANEO-UHFFFAOYSA-N	BRD-K44640865
2735	BRD-K44652183	ZXRCYWGXGAMHEI-UHFFFAOYSA-N	BRD-K44652183
2736	BRD-K44696931	ZZWVGKUDLRNMBI-AOHZZOSCSA-N	BRD-K44696931
2738	BRD-K44781077	FVBMANNWVHBCBY-IZVMNLJQSA-N	BRD-K44781077
2739	BRD-K44812652	KMJRLGVVZSKVQB-JTOYRKQZSA-N	BRD-K44812652
2740	capsazepine	DRCMAZOSEIMCHM-UHFFFAOYSA-N	BRD-K44849676
2742	BRD-K44890999	VVKQUOIOXTWGEY-FBROZUCGSA-N	BRD-K44890999
2743	RO-16-6941	AIHKMGLJGLKLSI-UHFFFAOYSA-N	BRD-K44899736
2744	JAS07-005	WHJOFSJBUCQZAT-SFHVURJKSA-N	BRD-K44929916
2745	BRD-K44931544	OQFIPAIYXFPOMF-UHFFFAOYSA-N	BRD-K44931544
2746	BRD-K44978960	PBJIOVQCYBRCRK-UHFFFAOYSA-N	BRD-K44978960
2747	BRD-K45031696	QPGYAMIHXLCFTJ-UHFFFAOYSA-N	BRD-K45031696
2749	W-13	JJQKICOADUKSNS-UHFFFAOYSA-N	BRD-K45068323
2750	BRD-K45114207	DAGFDXMLUFAFEX-UHFFFAOYSA-N	BRD-K45114207
2751	Y-26763	IWTCFIIOUXJOOV-OLZOCXBDSA-N	BRD-K45117373
2753	BRD-K45205755	RCOIZIFMFNASTI-UHFFFAOYSA-N	BRD-K45205755
2754	BRD-K45216862	MWMPSWOBEJCOBM-UHFFFAOYSA-N	BRD-K45216862
2755	BRD-K45232279	ANNRRBNONSWPEH-YGIZDMHFSA-N	BRD-K45232279
2757	SD-6-035-A7	WIYHORLWMFSPCL-QJWQVSSASA-N	BRD-K45253154
2758	BRD-K45256078	MRDGOOFOWRUSLV-UHFFFAOYSA-N	BRD-K45256078
2759	BRD-K45278408	BUIZTXXZBDUOCR-UHFFFAOYSA-N	BRD-K45278408
2760	ZD-7114	RVMBDLSFFNKKLG-GOSISDBHSA-N	BRD-K45296539
2761	BRD-K45308677	GIJOLWKRVUVZJW-UHFFFAOYSA-N	BRD-K45308677
2763	BRD-K45355657	HPGFONOOSSVFJJ-UHFFFAOYSA-N	BRD-K45355657
2764	CAM-9-027-3	BKTXRPJVVXUPPO-PNCWTNKOSA-N	BRD-K45399554
2766	SCH-23390	GOTMKOSCLKVOGG-OAHLLOKOSA-N	BRD-K45435259
2767	BRD-K45437867	KOWVJDFMEZKDDT-UHFFFAOYSA-N	BRD-K45437867
2768	BRD-K45443730	YQNOQZALLOQMPY-UHFFFAOYSA-N	BRD-K45443730
2769	JZL-184	SEGYOKHGGFKMCX-UHFFFAOYSA-N	BRD-K45446451
2770	BP-554	VUSNBQDZGKZEDL-UHFFFAOYSA-N	BRD-K45479396
2771	BRD-K45505681	OCJLBMKFYCWBAV-UHFFFAOYSA-N	BRD-K45505681
2773	BRD-K45542213	FVKFHMNJTHKMRX-UHFFFAOYSA-N	BRD-K45542213
2774	BRD-K45582470	IMPBBHMDJCWLCX-HOOSLVGPSA-N	BRD-K45582470
2775	BRD-K45675241	DDXXXUMOHIHJCU-UHFFFAOYSA-O	BRD-K45675241
2776	BRD-K45735142	DSHPDBIZJLDJKA-KHCICDEESA-N	BRD-K45735142
2777	SD-8-005	XJDNFUDAKLJUOC-ZQPSKXNCSA-N	BRD-K45758869
2778	BRD-K45763312	AWIDZQPEPWOPKS-UHFFFAOYSA-N	BRD-K45763312
2779	SA-425500	PEUKOTPXCYQHOA-ZIZQKJAQSA-N	BRD-K45818044
2780	BRD-K45842176	HMSQNPMOULJFRY-VPNVGQJSSA-N	BRD-K45842176
2782	YL-53	WIYXXSJAZGSVLH-QJUVQLQESA-N	BRD-K45878950
2783	huperzine-a	ZRJBHWIHUMBLCN-SEQYCRGISA-N	BRD-K45888792
2784	BRD-K45895591	BWDIIPBAILAAOX-UHFFFAOYSA-N	BRD-K45895591
2785	tetramethylsilane	JDBCWSHYEQUBLW-UHFFFAOYSA-N	BRD-K45988865
2786	BRD-K46017542	FUDUOOSWCQXIFI-UHFFFAOYSA-N	BRD-K46017542
2789	ST-4062971	AZMVVBDUDPIZOY-UHFFFAOYSA-N	BRD-K46062088
2790	eugenitol	HMAUJNAGOIPKDG-UHFFFAOYSA-N	BRD-K46068882
2792	RS-67333	JBHLYIVFFLNISJ-UHFFFAOYSA-N	BRD-K46142322
2793	BRD-K46170844	NZIDGOHDVVZTSG-UHFFFAOYSA-N	BRD-K46170844
2794	BRD-K46171503	CMRLNGHJTMMURI-DNHJLFCISA-N	BRD-K46171503
2797	valyltryptophan	LZDNBBYBDGBADK-KBPBESRZSA-N	BRD-K46272620
2798	BRD-K46285453	AQERYHSAKUBTEX-UHFFFAOYSA-N	BRD-K46285453
2799	proadifen	SNTQPLDRUZOSDP-UHFFFAOYSA-N	BRD-K46317332
2800	BRD-K46373671	XHCFGJIATIGRMD-WTBTXGFSSA-N	BRD-K46373671
2801	o-3M3FBS	SKJJIFRWCCSXGL-UHFFFAOYSA-N	BRD-K46384212
2802	U0126	DVEXZJFMOKTQEZ-UHFFFAOYSA-N	BRD-K46419649
2804	GR-55562	ZAGAUUVCYGSPBP-UHFFFAOYSA-N	BRD-K46441700
2805	BRD-K46445327	PEHWLDDZWQGNOT-OWOAZTCBSA-N	BRD-K46445327
2806	SCH-442416	AEULVFLPCJOBCE-UHFFFAOYSA-N	BRD-K46469693
2807	BRD-K46499837	LCGKYSOTAAWDQI-CDNUTCOBSA-N	BRD-K46499837
2808	BRD-K46505016	XJDNFUDAKLJUOC-WEBZSHJMSA-N	BRD-K46505016
2809	BRD-K46532897	ACSVFUACEODJDN-OVWOLCBMSA-N	BRD-K46532897
2811	BRD-K46558254	YOPXVAOAMXXDLX-QXXCKKGJSA-N	BRD-K46558254
2812	BRD-K46594703	QYHFPUZBYVVXLB-PHBCIFJZSA-N	BRD-K46594703
2813	BRD-K46645809	JETBHVUMRVCOME-UHFFFAOYSA-N	BRD-K46645809
2815	BRD-K46681113	WKFAULJTANEMGJ-UHFFFAOYSA-N	BRD-K46681113
2816	BRD-K46692335	UHIMEEWAODCTDO-DBFLYIEGSA-N	BRD-K46692335
2818	S-14506	IFMQODYDAUKKEN-UHFFFAOYSA-N	BRD-K46766488
2820	KU-C103672	QCKTXJMYYWWSQN-UHFFFAOYSA-N	BRD-K46872340
2822	BRD-K46961308	QKMRPUGGVGPGNB-UHFFFAOYSA-N	BRD-K46961308
2823	AG-490	TUCIOBMMDDOEMM-RIYZIHGNSA-N	BRD-K47105409
2824	BRD-K47147974	JMUKWVCHLKIZFA-UHFFFAOYSA-N	BRD-K47147974
2825	KI-8751	LFKQSJNCVRGFCC-UHFFFAOYSA-N	BRD-K47150025
2826	icosapent	JAZBEHYOTPTENJ-JLNKQSITSA-N	BRD-K47192521
2829	BRD-K47324077	GSCZKMPUXKZISH-UHFFFAOYSA-N	BRD-K47324077
2831	tetradecylthioacetic-acid	IPBCWPPBAWQYOO-UHFFFAOYSA-N	BRD-K47539947
2833	ST-4042556	NAZTWGOQPYAEMF-UHFFFAOYSA-N	BRD-K47622659
2837	EMD-386088	BPPGPYJBCVXILI-UHFFFAOYSA-N	BRD-K47659338
2839	BRD-K47690943	QYHFPUZBYVVXLB-XTGAJNFRSA-N	BRD-K47690943
2840	evoxine	FGANMDNHTVJAHL-CYBMUJFWSA-N	BRD-K47693913
2841	BRD-K47695085	JPRSMOUDRVVIHR-UHFFFAOYSA-N	BRD-K47695085
2842	BRD-K47703442	PTOOAUVDXYMOSW-UHFFFAOYSA-N	BRD-K47703442
2843	BRD-K47709646	BFZJIPFMDIHKKI-UHFFFAOYSA-N	BRD-K47709646
2844	NBQX	UQNAFPHGVPVTAL-UHFFFAOYSA-N	BRD-K47717570
2845	BRD-K47731572	WKILGRVMIUOPAT-UHFFFAOYSA-N	BRD-K47731572
2846	PD-168077	DNULYRGWTFLJQL-UHFFFAOYSA-N	BRD-K47761761
2847	BRD-K47764688	MCUMXBHPOQQCFP-ZEQKJWHPSA-N	BRD-K47764688
2848	BRD-K47786739	RUOZLMFIBHXSJW-PHVLTXCSSA-N	BRD-K47786739
2849	BRD-K47802551	ZZWVGKUDLRNMBI-RXDUGQIKSA-N	BRD-K47802551
2853	tyrphostin-51	JKNOYWVMHPMBEL-UNXLUWIOSA-N	BRD-K47943470
2854	BX-795	VAVXGGRQQJZYBL-UHFFFAOYSA-N	BRD-K47983010
2855	BRD-K48016779	QDGYMWPBIKSABL-DHIFEGFHSA-N	BRD-K48016779
2856	OBAA	ZBESASFHIWDSCJ-UHFFFAOYSA-N	BRD-K48029790
2857	BRD-K48036219	HPXQJKADXJMKNX-JQASONJCSA-N	BRD-K48036219
2858	YM-298198	VWOMTTIMBHBPBI-UHFFFAOYSA-N	BRD-K48059230
2859	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	XMFWHLZTTUUQHL-UHFFFAOYSA-N	BRD-K48115423
2862	BRD-K48199208	JOKFEGLRCYJIAV-UHFFFAOYSA-N	BRD-K48199208
2863	BRD-K48204702	ZPHJORCZYCTRAW-UHFFFAOYSA-N	BRD-K48204702
2865	BRD-K48311056	MXWICZOXPUWAHY-OAHLLOKOSA-N	BRD-K48311056
2867	BRD-K48388979	DOVIZHGISHYASN-UHFFFAOYSA-N	BRD-K48388979
2868	U-0124	QRTOSWGHCGATQF-YMBWGVAGSA-N	BRD-K48427617
2869	YM-201636	YBPIBGNBHHGLEB-UHFFFAOYSA-N	BRD-K48488978
2870	BRD-K48576794	DXJICGSIRAJIDN-UHFFFAOYSA-N	BRD-K48576794
2871	BRD-K48654774	KJMXEUCARPOYRU-UHFFFAOYSA-N	BRD-K48654774
2873	SD-6-035-B2	WIYHORLWMFSPCL-FILQNJKGSA-N	BRD-K48703351
2874	BRD-K48716658	NOGLUAGKODIFPO-UHFFFAOYSA-N	BRD-K48716658
2877	PD-158780	KFHMLBXBRCITHF-UHFFFAOYSA-N	BRD-K48735772
2878	BRD-K48803730	FLULYEBPWOEKQH-JLELKNTQSA-N	BRD-K48803730
2879	BRD-K48823327	OYAORDJKGQUPNL-UHFFFAOYSA-N	BRD-K48823327
2880	BRD-K48844671	WMCOYUSJXXCHFH-UHFFFAOYSA-N	BRD-K48844671
2881	icilin	RCEFMOGVOYEGJN-UHFFFAOYSA-N	BRD-K48869804
2882	BMS-641988	HYNANJUKEMCYEQ-HIGHGGLBSA-N	BRD-K48923948
2883	BRD-K48924007	JCWVAAMSJLXBQF-UHFFFAOYSA-N	BRD-K48924007
2884	cetraxate	FHRSHSOEWXUORL-HDJSIYSDSA-N	BRD-K48932581
2885	epothilone	QXRSDHAAWVKZLJ-PVYNADRNSA-N	BRD-K48935217
2886	BRD-K48950795	UIWHTZIAIXNFGN-AZAGJHQNSA-N	BRD-K48950795
2887	BRD-K48969316	KENKPOUHXLJLEY-QANKJYHBSA-N	BRD-K48969316
2889	BRD-K48974000	DZTFRDMOGLIUFL-UHFFFAOYSA-N	BRD-K48974000
2890	BRD-K49010888	VYCOOHAMPRTWAW-YHPNNPEYSA-N	BRD-K49010888
2891	PSB-1115	CLAKVWLLCCAYHQ-UHFFFAOYSA-N	BRD-K49027941
2892	CGS-15943	MSJODEOZODDVGW-UHFFFAOYSA-N	BRD-K49049886
2893	BRD-K49061529	KOVRZNUMIKACTB-UHFFFAOYSA-N	BRD-K49061529
2895	BRD-K49094915	AYMCOCULSANHRE-UHFFFAOYSA-N	BRD-K49094915
2897	EMF-sumo1-7	IMAHIZOAEFWBHO-UHFFFAOYSA-N	BRD-K49181186
2898	VU-0415113-1	YTEAWAWQLOHQNN-UHFFFAOYSA-N	BRD-K49183052
2899	KU-C103671	DSSXORGEYXPNQS-UHFFFAOYSA-N	BRD-K49237419
2900	BIBU-1361	JUGSLZCFNSTKBN-UHFFFAOYSA-N	BRD-K49294207
2902	PIK-75	QTHCAAFKVUWAFI-DJKKODMXSA-N	BRD-K49371609
2903	mofezolac	DJEIHHYCDCTAAH-UHFFFAOYSA-N	BRD-K49372556
2904	BRD-K49403449	OFLMBTVBZWBGTQ-LDADJPATSA-N	BRD-K49403449
2906	bisindolylmaleimide	GBEDQEGRSFONFW-SIJTWYJSSA-N	BRD-K49448285
2908	KIN001-266	PHNZIIMWDVXPGG-UHFFFAOYSA-N	BRD-K49468759
2909	BRD-K49477212	BBMVEWGZHZDJKB-UHFFFAOYSA-N	BRD-K49477212
2911	immethridine	DFVSGZHJSIEEQQ-UHFFFAOYSA-N	BRD-K49519092
2912	LY-2140023	AVDUGNCTZRCAHH-MDASVERJSA-N	BRD-K49519144
2913	BRD-K49553303	QYHFPUZBYVVXLB-RWJVBYDYSA-N	BRD-K49553303
2914	BRD-K49562544	PBBRVFPPOQXNAS-UHFFFAOYSA-N	BRD-K49562544
2916	BRD-K49630153	CYPORQUKMUAFNK-UHFFFAOYSA-N	BRD-K49630153
2917	tyrphostin-AG-18	VTJXFTPMFYAJJU-UHFFFAOYSA-N	BRD-K49657628
2919	BX-912	DMMILYKXNCVKOJ-UHFFFAOYSA-N	BRD-K49669041
2922	BRD-K49712247	FRDKEPOOASUUFN-UHFFFAOYSA-N	BRD-K49712247
2923	BRD-K49749421	QOJJUFMTEHOTMP-NDENLUEZSA-N	BRD-K49749421
2924	BRD-K49791723	YKWYKGWGJNJYKQ-UHFFFAOYSA-N	BRD-K49791723
2925	BRD-K49807497	ONNXAZPRHBPWFM-KEBDBYFISA-N	BRD-K49807497
2926	sorafenib	CGFGJVMEGKQFPL-UHFFFAOYSA-N	BRD-K49810818
2927	BRD-K49814456	OTCNRYJGZMAWRN-UHFFFAOYSA-N	BRD-K49814456
2928	BRD-K49861754	MNPHKJOTGDBSIR-UHFFFAOYSA-N	BRD-K49861754
2931	GR-113808	MOZPSIXKYJUTKI-UHFFFAOYSA-N	BRD-K49945136
2932	BRD-K49967178	OUSNVUHNJNKFDM-UHFFFAOYSA-N	BRD-K49967178
2933	TBEP	DHNFNQBENYFUAK-UHFFFAOYSA-N	BRD-K50002132
2934	RS-67506	UATDVRSFFGFTAI-UHFFFAOYSA-N	BRD-K50018155
2936	GBR-12935	RAQPOZGWANIDQT-UHFFFAOYSA-N	BRD-K50135270
2937	KU-C104491	LRPGMVPQQLBMNE-UHFFFAOYSA-N	BRD-K50135923
2938	NVP-TAE684	QQWUGDVOUVUTOY-UHFFFAOYSA-N	BRD-K50140147
2940	BRD-K50177987	HPXQJKADXJMKNX-RNDKRWLGSA-N	BRD-K50177987
2941	BRD-K50204028	UHIMEEWAODCTDO-XRMYXDSJSA-N	BRD-K50204028
2943	EMF-bca1-16	CQUNMROLUJQCJW-UHFFFAOYSA-N	BRD-K50234570
